1000000, 0.423747, 0.347527, 0.444963, 0.391761, 0.353363, 0.35499, 0.324106, 0.297626, 0.338536, 0.328967
1500000, 0.52502, 0.711487, 0.58517, 0.586989, 0.525283, 0.574839, 0.494286, 0.5767, 0.664033, 0.749639
2000000, 0.997227, 0.787701, 1.05254, 0.876425, 0.98718, 0.833486, 1.03977, 0.775803, 0.759081, 0.74457
2500000, 1.10769, 1.05931, 1.21555, 1.15912, 1.0824, 1.21233, 1.36761, 1.4194, 1.13533, 1.33396
3000000, 1.32268, 1.46235, 1.75537, 1.49489, 1.35039, 1.49805, 1.40499, 1.51894, 1.40564, 1.36107
3500000, 1.88811, 1.82752, 1.77638, 1.78963, 1.6971, 1.79572, 2.00877, 2.04431, 1.92721, 2.11119
4000000, 2.22739, 2.30544, 2.23076, 2.33329, 2.14541, 2.0501, 2.61535, 2.10887, 2.39584, 2.24845
4500000, 2.76278, 2.83513, 2.48628, 2.45246, 2.50154, 2.8614, 2.50935, 2.34366, 2.54414, 2.66892
5000000, 3.13564, 3.08438, 3.25227, 3.00021, 3.21433, 2.97217, 3.1633, 2.94146, 3.08924, 3.08153
5500000, 3.80639, 4.17542, 4.21283, 3.99085, 3.83355, 4.19205, 3.83859, 4.01231, 3.99755, 3.82532
6000000, 4.46149, 4.39836, 4.46949